id,priority,area,status,issue,user_impact,blocks_freeze,recommended_stage,lb3d_freeze_disposition
P1-01,P1,Scene runtime,RESOLVED,"Partly-cloudy-day runtime routing now derives solar phase from the weather snapshot current time before falling back to browser time.","Architecture and QA docs now match browser-active config renderer coverage for day clouds.",false,LB-3D,Closed
P1-02,P1,Weather details,RESOLVED,"Visibility is now part of CurrentConditions, provider variable lists, normalizers, formatting, translations and WeatherDetailsGrid.","The weather details checklist now includes visibility with an unavailable fallback for old cache or provider gaps.",false,LB-3D,Closed
P1-03,P1,Alerts coverage,RESOLVED,"Alert provider capability is explicit and WeatherAlertSection renders active, supported-none, unsupported and unavailable statuses.","Default-provider users now see an honest unsupported-provider status instead of a silent empty alerts section.",false,LB-3D,Closed
P1-04,P1,State QA,RESOLVED,"A deterministic browser state harness now covers normal, error, cache, location, search, partial provider, alerts, visibility, reduced-motion and WebGL fallback states.","Freeze verification has a reusable local command and structured result file.",false,LB-3D,Closed
P2-01,P2,Scene visuals,Open,"Additional weather scene migrations beyond partly cloudy are not justified by current product risk.","Further migration would spend effort without improving the closeout path.",false,Post-freeze,Accepted P2 non-blocking
P2-02,P2,Performance,Open,"The existing build still reports a large async lib chunk; no weather-specific regression was observed.","This may matter for later app-wide bundle work but does not block weather closeout.",false,Post-freeze,Accepted P2 non-blocking
P2-03,P2,Renderer lifecycle,Open,"Texture reuse policy remains measurement-driven only; LB-2D runtime checks showed bounded lifecycle behavior.","Only revisit if browser metrics show repeated scene-switch churn.",false,Post-freeze,Accepted P2 non-blocking
DROP-01,DROP,Reverse engineering,Dropped,"No additional Xiaomi Weather reverse engineering is needed unless a concrete LifeBoard implementation decision is blocked.","Continuing broad reverse work would not improve the LifeBoard closeout decision.",false,Drop,Dropped
DROP-02,DROP,Scene migration,Dropped,"Clear-day migration remains stopped; current clear-day should stay on the legacy authorized-vendor path.","Avoids forcing a lower-fidelity config renderer for a scene whose current browser baseline is better.",false,Drop,Dropped
DROP-03,DROP,Architecture,Dropped,"Full renderer unification is not required for weather module completion.","The mixed renderer is the formal current architecture.",false,Drop,Dropped
